item_id,small_description,long_description,category,merch_class,channel_restriction,barcode,brand_name,age_restriction,primary_image,alternate_image,base_url
54276335,Hanes Sport Men's Performance ,"Hanes Sport Collection: Performance. Style. Comfort. Hanes Sport builds on our comfort heritage with innovative technologies to give you the looks that fit your life, your sport, and your style.  Hanes Sport Mens Performance Baseball Tee helps you give 100% by working overtime to keep you cool and dry. Cool DRI technology dries fabric faster for maximum comfort and Cool Comfort wicks away moisture to keep you dry. FreshIQ Advanced Odor Protection Technology attacks the odor-causing bacteria in your clothes, helping you stay fresh all throughout the day. Classic baseball tee styling with raglan, contrast sleeves. Tagless design means no scratchy, irritating back neck label getting you down. Available in a variety of colors.",APPAREL,0,MULTI-CHANNEL,54276335284025,Hanes,0,GUEST_9d0d9ff1-6f87-4585-ae33-1a87fcb95028,GUEST_9d0d9ff1-6f87-4585-ae33-1a87fcb95028,https://imagetarget.com/image/Target/
76558704,Hanes Men's Jersey Pants,"Keep it cool, comfortable and casual in these soft jersey pants from Hanes. With X-temp technology, these durable pants can adapt to your body temperature and activity, helping keep you cool and dry for all day comfort. Perfect for year-round wear. Some colors fabric percentages vary: (Light steel is 90% cotton, 10% polyester & charcoal heather is 60% cotton, 40% polyester). ",APPAREL,0,MULTI-CHANNEL,76558704284025,Hanes,0,GUEST_fce42cf0-4f05-4772-92b1-99c756e52d7b,GUEST_fce42cf0-4f05-4772-92b1-99c756e52d7b,https://imagetarget.com/image/Target/
53660247,Hanes Men's Long Sleeve Beefy ,"Tough enough to go extra innings, this long-sleeve henley tee is as durable as it is soft. Made with heavier weight Beefy-T cotton fabric, this popular classic t-shirt is perfect for any wearing occasion. Heather colors are a cotton-polyester blend. Perfect for layering and available in sizes S-3XL and in a variety of colors.",APPAREL,0,MULTI-CHANNEL,53660247284025,Hanes,0,GUEST_b95ceac7-8118-4367-8eaa-6c60b6575fc4,GUEST_b95ceac7-8118-4367-8eaa-6c60b6575fc4,https://imagetarget.com/image/Target/
76558110,Hanes Men's Ultimate Cotton Sw,"Made from heavyweight cotton/polyester blend fleece, this Hanes Men's Ultimate Cotton Crew Sweatshirt is sure to keep you warm on the coldest of days. Nine ounce fleece is our heaviest and warmest fleece-making it ideal for keeping out the cold. Ribbed cuffs and relaxed waistband keep their shape, wash after wash. Classic crew neck design. Available in a variety of colors. ",APPAREL,0,MULTI-CHANNEL,76558110284025,Hanes,0,GUEST_0de29a1d-5cec-48d7-8e4b-3eddf3ec7b4f,GUEST_8bb4e002-d704-4d60-b6c8-ff690d379822,https://imagetarget.com/image/Target/
77602268,Men's Run Knit Pants - All in ,"Why we're ALL IN:<br /><br />A stretchy fabric with moisture-wicking properties gives these knit pants ease of wear from running to walking to everyday activities. Zippers at the ankles offer a more customized fit for complete comfort with added ventilation, while a secure drawstring at the waistband helps keep the pants firmly in place. Front zipper pockets lend secure storage to provide hands-free convenience with full attention on your workout.  <br /><br />When families come together to discover the joy of staying active, All In Motion is there to make it easy and comfortable to embrace a bustling lifestyle. From running errands to running intervals, the collection AIMs to propel you forward with thoughtfully designed pieces that fit and feel great — movement is the core of this performance line, with a 100% satisfaction guarantee.",APPAREL,0,MULTI-CHANNEL,77602268284025,All in Motion,0,GUEST_1f1bf267-f5fb-44b4-9bb6-deddfd6b4dca,GUEST_56d808b4-fccb-47a4-a62c-cb89256dae63,https://imagetarget.com/image/Target/
77603131,Men's Lightweight Run Pants - ,"Why we're ALL IN:<br /><br />These warp knit fabric running pants were thoughtfully designed with reflective detailing to make early morning and late-night exercise a breeze. Moisture-wicking fabric with a quick-dry finish is made to keep you feeling your best, while zippers at the ankles lend added comfort and ventilation. The drawstring waistband makes for a secure fit, and you'll get the hands-free convenience you need from side pockets and an interior card pocket. <br /><br />When families come together to discover the joy of staying active, All In Motion is there to make it easy and comfortable to embrace a bustling lifestyle. From running errands to running intervals, the collection AIMs to propel you forward with thoughtfully designed pieces that fit and feel great — movement is the core of this performance line, with a 100% satisfaction guarantee.",APPAREL,0,MULTI-CHANNEL,77603131284025,All in Motion,0,GUEST_2fecf215-8622-46b2-8986-e12c464f6945,GUEST_ffea5d04-2905-49cb-b552-2c370e2ceb05,https://imagetarget.com/image/Target/
79218831,Men's Tie-Dye Regular Fit Swea,"Long-sleeve sweatshirt made from 100% cotton fabric for breathable comfort, complete with a regular fit that hits at the hip. Features a black and white tie-dye pattern for extra flair, and a hood and kangaroo pocket complete the look.",APPAREL,0,MULTI-CHANNEL,79218831284025,Original Use,0,GUEST_5a2a4b59-10b9-471c-b158-47224f322a4c,GUEST_6e454d44-6865-4567-b19e-42808b8b5cd4,https://imagetarget.com/image/Target/
77602310,"Men's 9"" Train Shorts - All in","Why we're ALL IN: <br /><br />Designed for high-impact workouts, like boxing, weight lifting and interval training, these train shorts feature a moisture-wicking, quick-dry fabric made to keep you cool and dry, complete with odor resistant technology for a fresh feel. A secure drawstring waistband offers a fit that stays in place, while side pockets provide you with hands-free convenience.<br /><br />When families come together to discover the joy of staying active, All In Motion is there to make it easy and comfortable to embrace a bustling lifestyle. From running errands to running intervals, the collection AIMs to propel you forward with thoughtfully designed pieces that fit and feel great — movement is the core of this performance line, with a 100% satisfaction guarantee.",APPAREL,0,MULTI-CHANNEL,77602310284025,All in Motion,0,GUEST_4ea982bb-b64c-4a31-ba0b-971a0e0d778e,GUEST_90c3deb3-bf0c-4dd9-a479-cc0e3c0ab710,https://imagetarget.com/image/Target/
77394187,Men's Standard Fit Long Sleeve,"Bring effortless style to your everyday wardrobe with the Standard-Fit Long-Sleeve Crewneck T-Shirt from Goodfellow & Co™. Made from shrink-resistant, 100% cotton fabric, this men's long-sleeve T-shirt easily transitions from season to season to ensure you stay comfy in whatever you're up to. Cut in a standard fit with banded cuffs and hem, this solid crewneck tee features a front chest pocket for on-trend flair. Whether you pair it with chino shorts and canvas espadrilles, light-wash jeans and high sneakers or white chinos and loafers, this tee will surely elevate your style.<br /><br />100% Satisfaction Guaranteed.",APPAREL,0,MULTI-CHANNEL,77394187284025,Goodfellow & Co,0,GUEST_63f6b8ff-cc55-47bf-862d-95eb7458618f,GUEST_f0a3e75f-c0c1-4fbe-b7e5-28abb2c1cac5,https://imagetarget.com/image/Target/
77353804,Men's Slim Fit Poplin Button-D,"Put together a look that combines refined style with a touch of playful flair with the men's Slim-Fit Printed Poplin Button-Down Shirt from Goodfellow & Co™. Cut in a slim fit with a poplin weave for comfortable wear, this men's short-sleeve button down features a classic collared neckline and a chest patch pocket, instantly bringing a timeless staple to your closet. It's made from cotton with a hint of spandex to keep you moving comfortably throughout your day, and it looks great with a variety of bottoms and layering pieces for versatile wear. Plus, you can choose from a range of colors and printed patterns for a look that matches your personal aesthetic, giving you a great option for just about any occasion.<br /><br />100% Satisfaction Guaranteed.",APPAREL,0,MULTI-CHANNEL,77353804284025,Goodfellow & Co,0,GUEST_b237fb2a-5f1e-46e6-9a35-e14cf12ce7aa,GUEST_b59af6ed-a6bd-497a-88aa-917bac7abbcf,https://imagetarget.com/image/Target/
