item_id,regular_price,sale_price,type
54276335,17.61,12.39,SALE
76558704,18.99,7.99,SALE
53660247,13.99,9.99,SALE
76558110,13.99,9.59,SALE
77602268,29.99,25.99,SALE
77603131,29.99,25.99,SALE
79218831,25.59,16.49,SALE
77602310,29.99,25.99,SALE
77394187,16.99,14.44,SALE
77353804,25.59,16.49,SALE
52566032,24.99,19.99,SALE
53071711,17.61,12.39,SALE
80222368,29.99,27.99,SALE
52493021,29.99,20.74,SALE
79218957,25.59,16.49,SALE
54611459,25.59,16.49,SALE
53579607,49.99,14.98,SALE
77600205,29.99,25.99,SALE
54376303,32.0,28.0,SALE
54248446,24.99,19.99,SALE
77590567,29.99,25.99,SALE
78622814,32.0,28.0,SALE
77599971,29.99,25.99,SALE
54601301,33.0,30.0,SALE
79467961,25.59,16.49,SALE
79565917,14.99,13.99,SALE
78622710,14.99,13.99,SALE
54621281,25.59,16.49,SALE
54212076,32.0,28.0,SALE
54551728,29.99,20.74,SALE
78653190,29.99,20.74,SALE
79226414,25.59,16.49,SALE
78717822,29.99,25.99,SALE
54376623,14.99,13.99,SALE
53216167,29.99,13.5,SALE
54244966,29.99,20.74,SALE
78269002,29.99,20.74,SALE
54595335,14.99,13.99,SALE
54376580,14.99,13.99,SALE
78776953,12.99,11.04,SALE
14493550,23.49,21.99,SALE
78864933,25.59,16.49,SALE
54376610,32.0,28.0,SALE
77655744,25.59,16.49,SALE
77602949,32.0,28.0,SALE
54305780,32.0,28.0,SALE
53243962,14.99,11.99,SALE
54601537,25.59,16.49,SALE
76617776,25.59,16.49,SALE
14491687,17.61,12.39,SALE
53245373,29.99,29.99,REGULAR
51901045,39.99,39.99,REGULAR
77332707,59.99,59.99,REGULAR
78120954,29.99,29.99,REGULAR
52259441,19.99,19.99,REGULAR
77332708,59.99,59.99,REGULAR
54540698,59.99,59.99,REGULAR
76780149,59.99,59.99,REGULAR
54644698,19.99,19.99,REGULAR
53563965,34.99,34.99,REGULAR
53693504,34.99,34.99,REGULAR
76633625,33.49,33.49,REGULAR
15812884,17.99,17.99,REGULAR
78175741,24.99,24.99,REGULAR
79494596,59.99,59.99,REGULAR
54637391,19.99,19.99,REGULAR
54440269,39.99,39.99,REGULAR
53480285,38.49,38.49,REGULAR
76633646,39.99,39.99,REGULAR
76620912,19.99,19.99,REGULAR
76835665,59.99,59.99,REGULAR
51223091,19.59,19.59,REGULAR
79503839,29.99,29.99,REGULAR
54498963,59.99,59.99,REGULAR
52428550,19.99,19.99,REGULAR
54234515,29.99,29.99,REGULAR
53742057,59.99,59.99,REGULAR
77471099,33.99,33.99,REGULAR
78857526,29.99,29.99,REGULAR
54004727,29.99,29.99,REGULAR
53797889,19.99,19.99,REGULAR
76628585,39.99,39.99,REGULAR
79521235,59.99,59.99,REGULAR
54136584,58.99,58.99,REGULAR
52473246,16.99,16.99,REGULAR
79797177,49.99,49.99,REGULAR
79503823,39.99,39.99,REGULAR
53916175,19.99,19.99,REGULAR
53958571,19.99,19.99,REGULAR
17486598,19.99,19.99,REGULAR
53711565,19.99,19.99,REGULAR
52650110,19.99,19.99,REGULAR
17437224,19.99,19.99,REGULAR
54633410,29.99,29.99,REGULAR
53693518,29.99,29.99,REGULAR
78810739,19.99,19.99,REGULAR
54633508,29.99,29.99,REGULAR
54467272,32.99,32.99,REGULAR
14653151,14.99,14.99,REGULAR
52677075,19.99,19.99,REGULAR
79366517,49.99,49.99,REGULAR
78784638,19.99,19.99,REGULAR
76151588,19.99,19.99,REGULAR
76151612,19.99,19.99,REGULAR
50688289,19.99,19.99,REGULAR
76151569,9.29,9.29,REGULAR
53355096,34.99,34.99,REGULAR
10855294,29.99,29.99,REGULAR
76151688,19.99,19.99,REGULAR
75559233,19.29,19.29,REGULAR
76151670,19.89,19.89,REGULAR
53521468,19.89,19.89,REGULAR
75559238,19.99,19.99,REGULAR
52119309,19.79,19.79,REGULAR
12836086,24.99,24.99,REGULAR
76615487,20.99,20.99,REGULAR
15318569,9.99,9.99,REGULAR
76151695,13.49,13.49,REGULAR
76151563,15.69,15.69,REGULAR
53351993,17.99,17.99,REGULAR
