item_id,available_units,limited_quantity_threshold
54276335,312,20
76558704,207,10
53660247,359,20
76558110,533,20
77602268,493,20
77603131,779,20
79218831,720,20
77602310,724,20
77394187,937,20
77353804,377,20
52566032,53,5
53071711,217,10
80222368,704,20
52493021,493,20
79218957,945,20
54611459,725,20
53579607,12,2
77600205,595,20
54376303,547,20
54248446,960,20
77590567,833,20
78622814,857,20
77599971,375,20
54601301,697,20
79467961,775,20
79565917,775,20
78622710,290,10
54621281,356,20
54212076,883,20
54551728,428,20
78653190,46,5
79226414,825,20
78717822,688,20
54376623,578,20
53216167,744,20
54244966,1000,20
78269002,479,20
54595335,644,20
54376580,314,20
78776953,526,20
14493550,540,20
78864933,728,20
54376610,425,20
77655744,904,20
77602949,714,20
54305780,82,5
53243962,748,20
54601537,645,20
76617776,232,10
14491687,78,5
53245373,800,20
51901045,844,20
77332707,252,10
78120954,760,20
52259441,580,20
77332708,326,20
54540698,447,20
76780149,538,20
54644698,752,20
53563965,272,10
53693504,807,20
76633625,201,10
15812884,205,10
78175741,189,10
79494596,465,20
54637391,878,20
54440269,956,20
53480285,383,20
76633646,825,20
76620912,683,20
76835665,851,20
51223091,446,20
79503839,735,20
54498963,600,20
52428550,104,10
54234515,899,20
53742057,255,10
77471099,752,20
78857526,454,20
54004727,996,20
53797889,985,20
76628585,701,20
79521235,268,10
54136584,635,20
52473246,399,20
79797177,66,5
79503823,620,20
53916175,736,20
53958571,296,10
17486598,868,20
53711565,657,20
52650110,666,20
17437224,441,20
54633410,275,10
53693518,259,10
78810739,215,10
54633508,868,20
54467272,203,10
14653151,40,5
52677075,872,20
79366517,64,5
78784638,157,10
76151588,752,20
76151612,830,20
50688289,944,20
76151569,218,10
53355096,864,20
10855294,831,20
76151688,459,20
75559233,68,5
76151670,629,20
53521468,840,20
75559238,326,20
52119309,295,10
12836086,341,20
76615487,559,20
15318569,83,5
76151695,14,2
76151563,135,10
53351993,847,20
50696068,438,20
76151622,44,5
76151656,409,20
76151600,760,20
15361189,426,20
10266320,214,10
52119448,772,20
53334055,38,5
52133240,435,20
17073728,113,10
76151668,787,20
13464343,404,20
52141262,258,10
52120183,399,20
52702755,585,20
76431682,184,10
11247233,264,10
76161637,967,20
52693763,264,10
78804367,214,10
51093164,586,20
78168290,915,20
76151645,431,20
53352013,779,20
14866056,523,20
51093100,597,20
76151640,102,10
51232255,636,20
76151566,133,10
17073126,432,20
76151573,52,5
76151698,140,10
76179191,988,20
81287113,194,10
80395776,462,20
76180307,5,2
80784221,135,10
78670258,369,20
75552838,421,20
80159377,259,10
16719595,537,20
79896789,477,20
80386115,95,5
77401310,176,10
80272517,759,20
80272515,519,20
76466124,561,20
76466118,938,20
76400629,137,10
76400630,364,20
76400628,199,10
76466116,949,20
76400622,743,20
49140070,753,20
11676419,404,20
79342100,834,20
77837527,533,20
79134003,661,20
81013258,706,20
78287791,139,10
80868604,412,20
11630832,471,20
76954456,726,20
79132624,162,10
78801865,231,10
78144275,58,5
77171263,362,20
79658052,803,20
79680440,881,20
12973926,877,20
81008747,222,10
80982753,467,20
78658547,599,20
77524885,41,5
77049568,396,20
81048853,185,10
77865016,794,20
77917997,911,20
79266097,618,20
79486278,785,20
78151705,536,20
54269721,157,10
53241329,14,2
53437685,744,20
78327954,154,10
53241294,843,20
16965145,734,20
13507475,71,5
52297080,167,10
78259889,323,20
13025048,59,5
75564423,134,10
75666230,825,20
12992360,270,10
78308319,978,20
52893648,283,10
14694510,393,20
14710162,711,20
14230030,936,20
78327958,391,20
14694500,585,20
14763602,927,20
53241345,622,20
75564401,810,20
75564410,444,20
50631426,453,20
51201830,215,10
13821393,49,5
75563315,199,10
75664801,527,20
79389953,43,5
79389973,23,5
75564405,711,20
53413908,497,20
79389940,117,10
14477283,168,10
79389976,136,10
17079070,372,20
13933228,764,20
14612059,367,20
13315173,114,10
13163411,126,10
51952812,931,20
76078862,703,20
15511818,390,20
12856531,115,10
51952904,379,20
75666304,81,5
75663184,603,20
79389922,528,20
15744221,223,10
75661939,245,10
14775345,200,10
79389937,954,20
